title,date,category,info,link
"In about-turn, US hails WHO pandemic response - RTHK",2021-01-21 HKT 18:31,World News,"In a dramatic about-turn, the new US administration on Thursday thanked the World Health Organization for leading the global pandemic response and vow...",news.rthk.hk/rthk/en/component/k2/1571640-20210121.htm?archive_date=2021-01-21
Experts recommend phased approach for Covid vaccines - RTHK,2021-01-21 HKT 20:10,Local,"Experts advising the government on its Covid vaccination programme are recommending a phased approach, with residents and staff at care homes to get i...",news.rthk.hk/rthk/en/component/k2/1571653-20210121.htm?archive_date=2021-01-21
Twin suicide blasts in Baghdad leave over 30 dead - RTHK,2021-01-21 HKT 22:15,World News,"A rare twin suicide bombing killed more than 30 people at a crowded market in central Baghdad on Thursday, Iraqi state media said, the city's deadlies...",news.rthk.hk/rthk/en/component/k2/1571674-20210121.htm?archive_date=2021-01-21
"China to donate 500,000 Covid vaccines to Pakistan - RTHK",2021-01-22 HKT 01:11,World News,"China will donate 500,000 doses of its Covid-19 vaccine to Pakistan, the country's foreign minister Shah Mahmood Qureshi said on Thursday. It comes as...",news.rthk.hk/rthk/en/component/k2/1571687-20210122.htm?archive_date=2021-01-22
City's Aguero self-isolating after testing positive - RTHK,2021-01-22 HKT 01:22,Sport,"Beijing launched mass Covid-19 testing in parts of the city on Friday, while Shanghai was testing all hospital staff, as the mainland battles the wors...",news.rthk.hk/rthk/en/component/k2/1571690-20210122.htm?archive_date=2021-01-22
England increases fines for lockdown-breakers - RTHK,2021-01-22 HKT 02:55,World News,"Police in England will be able to issue bigger fines to those breaking coronavirus lockdown measures by partying, with penalties of up to £6,400 (US$8...",news.rthk.hk/rthk/en/component/k2/1571695-20210122.htm?archive_date=2021-01-22
Biden opens adminstration with war on Covid - RTHK,2021-01-22 HKT 05:30,World News,"Travellers to the US will be required to quarantine on arrival while masks will be mandated on many domestic trains, planes and buses, President Joe B...",news.rthk.hk/rthk/en/component/k2/1571707-20210122.htm?archive_date=2021-01-22
Big tech edges Nasdaq to record but oil shares slump - RTHK,2021-01-22 HKT 05:49,Finance,"The Nasdaq pushed to a fresh record on Thursday on lingering optimism over the US presidential transition, but petroleum-linked shares were hammered b...",news.rthk.hk/rthk/en/component/k2/1571705-20210122.htm?archive_date=2021-01-22
Govt still pursuing Sinovac vaccines: Sophia Chan - RTHK,2021-01-22 HKT 07:35,Local,"Health Secretary Sophia Chan has said the government hasn't given up on Covid vaccines from mainland manufacturer Sinovac, even though the product has...",news.rthk.hk/rthk/en/component/k2/1571681-20210122.htm?archive_date=2021-01-22
Swine fever may be caused by illicit vaccines - RTHK,2021-01-22 HKT 08:13,Greater China,"A new form of African swine fever identified in Chinese pig farms is most likely caused by illicit vaccines, industry insiders say, a fresh blow to th...",news.rthk.hk/rthk/en/component/k2/1571726-20210122.htm?archive_date=2021-01-22
Japan privately concludes that Olympics won't happen - RTHK,2021-01-22 HKT 08:25,Sport,"Japan's government has privately concluded the Tokyo Olympics will have to be cancelled because of the coronavirus pandemic, The Times reported, citin...",news.rthk.hk/rthk/en/component/k2/1571731-20210122.htm?archive_date=2021-01-22
Nissan to source more batteries from UK - RTHK,2021-01-22 HKT 09:41,Finance,"Nissan will source more batteries from Britain to avoid tariffs on electric cars after the UK's trade deal with the EU, which a senior executive told...",news.rthk.hk/rthk/en/component/k2/1571724-20210122.htm?archive_date=2021-01-22
Beijing launches mass Covid testing - RTHK,2021-01-22 HKT 11:08,Greater China,The Food and Health Bureau says it will look into a coronavirus case involving a patient who reportedly received false negative results through commun...,news.rthk.hk/rthk/en/component/k2/1571767-20210122.htm?archive_date=2021-01-22
Japan denies report of Tokyo Olympics cancellation - RTHK,2021-01-22 HKT 11:43,Sport,"Japan doubled down on its commitment to host the Tokyo Olympics this year and flatly denied reports on Friday of a cancellation, in a move that is unl...",news.rthk.hk/rthk/en/component/k2/1571776-20210122.htm?archive_date=2021-01-22
Too late for Yau Ma Tei lockdown now: expert - RTHK,2021-01-22 HKT 12:17,Local,"An infectious disease expert on Friday urged the government to expand the scope of mandatory coronavirus tests in Yau Ma Tei, but rejected suggestions...",news.rthk.hk/rthk/en/component/k2/1571772-20210122.htm?archive_date=2021-01-22
Govt to look into 'inaccurate' Covid test results - RTHK,2021-01-22 HKT 13:04,Local,"China reported 103 new Covid-19 cases on the mainland on Jan. 21, down from 144 cases a day earlier, the country's national health authority said on F...",news.rthk.hk/rthk/en/component/k2/1571790-20210122.htm?archive_date=2021-01-22
Motion of thanks for policy blueprint passes easily - RTHK,2021-01-22 HKT 14:46,Local,"A motion of thanks for Chief Executive Carrie Lam’s policy address was easily passed by the pro-government dominated Legislative Council on Friday, wi...",news.rthk.hk/rthk/en/component/k2/1571796-20210122.htm?archive_date=2021-01-22
HK doctors prefer Chinese Covid vaccine: survey - RTHK,2021-01-22 HKT 16:18,Local,"A pro-government healthcare workers' group and four unions in the medical sector say a survey they've carried out suggests Hong Kong doctors, nurses a...",news.rthk.hk/rthk/en/component/k2/1571820-20210122.htm?archive_date=2021-01-22
"HSI ends in the red on profit-taking, virus fears - RTHK",2021-01-22 HKT 16:59,Finance,"Local shares were down across the board on Friday afternoon, as investors reaped profits from recent highs fuelled by expectations on newly installed...",news.rthk.hk/rthk/en/component/k2/1571825-20210122.htm?archive_date=2021-01-22
Jordan housing block outbreak is worrying: officials - RTHK,2021-01-22 HKT 17:21,Local,"Health officials say they will send experts to investigate a Covid-19 outbreak at Kensington Plaza in Jordan, after residents in several flats there c...",news.rthk.hk/rthk/en/component/k2/1571830-20210122.htm?archive_date=2021-01-22
NPC deputies urge Beijing to give HK Sinopharm jabs - RTHK,2021-01-22 HKT 18:02,Local,"Hong Kong's member of the National People's Congress Standing Committee (NPCSC), Tam Yiu-chung, on Friday confirmed that local NPC deputies have writt...",news.rthk.hk/rthk/en/component/k2/1571840-20210122.htm?archive_date=2021-01-22
Partial evacuation ordered at Jordan housing block - RTHK,2021-01-22 HKT 18:55,Local,Authorities ordered all residents living in flats C at Kensington Plaza in Jordan on Friday evening to evacuate amid a Covid-19 outbreak in the buildi...,news.rthk.hk/rthk/en/component/k2/1571866-20210122.htm?archive_date=2021-01-22
"Bar, karaoke operators plead to be allowed to reopen - RTHK",2021-01-22 HKT 19:20,Local,Representatives of the bar and karaoke industries have joined calls from owners of beauty parlours and cinemas for the government to allow their busin...,news.rthk.hk/rthk/en/component/k2/1571871-20210122.htm?archive_date=2021-01-22
'Tell confused residents if lockdown is happening' - RTHK,2021-01-22 HKT 22:10,Local,Yau Tsim Mong district councillors on Friday demanded clarification from the government over whether it will impose a partial lockdown on the Covid-19...,news.rthk.hk/rthk/en/component/k2/1571895-20210122.htm?archive_date=2021-01-22
US House sending Trump impeachment article on Monday - RTHK,2021-01-23 HKT 00:23,World News,The Democratic-controlled US House of Representatives will deliver an impeachment charge against former President Donald Trump to the Senate on Monday...,news.rthk.hk/rthk/en/component/k2/1571917-20210123.htm?archive_date=2021-01-23
'Some evidence' UK virus strain more deadly: Johnson - RTHK,2021-01-23 HKT 01:45,World News,"The new strain of coronavirus identified in Britain could be not only more transmissible but also more deadly, Prime Minister Boris Johnson said on Fr...",news.rthk.hk/rthk/en/component/k2/1571924-20210123.htm?archive_date=2021-01-23
Govt places part of Jordan under 48-hour lockdown - RTHK,2021-01-23 HKT 04:42,Local,"The government on Saturday morning locked down an area in Jordan, citing chapter 599J of the Regulations on Disease Prevention and Control. The area d...",news.rthk.hk/rthk/en/component/k2/1571933-20210123.htm?archive_date=2021-01-23
US stocks end mostly lower on grim Covid-19 news - RTHK,2021-01-23 HKT 05:34,Finance,Wall Street stocks finished mostly lower on Friday as investors grappled with worries over new coronavirus strains while confidence in continued fisca...,news.rthk.hk/rthk/en/component/k2/1571938-20210123.htm?archive_date=2021-01-23
"Government aims to test 10,000 by midnight in Jordan - RTHK",2021-01-23 HKT 12:22,Local,"Officials on Saturday said around 10,000 residents, living in the part of Jordan currently under 48-hour lockdown, would have to take a Covid-19 test...",news.rthk.hk/rthk/en/component/k2/1571968-20210123.htm?archive_date=2021-01-23
China reports slight increase in Covid cases - RTHK,2021-01-23 HKT 13:06,Greater China,"China on Saturday reported a slight increase in new cases of Covid-19 as it marks the anniversary of the world's first coronavirus lockdown, in the ci...",news.rthk.hk/rthk/en/component/k2/1571976-20210123.htm?archive_date=2021-01-23
"Residents under lockdown get food, tag after test - RTHK",2021-01-23 HKT 15:44,Local,"Thousands of Jordan residents streamed to Covid-19 testing booths on Saturday, hours after the government made the unprecedented move of setting up a...",news.rthk.hk/rthk/en/component/k2/1571980-20210123.htm?archive_date=2021-01-23
Carrie Lam defends partial lockdown in Jordan - RTHK,2021-01-23 HKT 17:30,Local,"The Chief Executive, Carrie Lam, has defended the government’s unprecedented decision to impose a partial lockdown in Jordan, saying it was a matter o...",news.rthk.hk/rthk/en/component/k2/1572000-20210123.htm?archive_date=2021-01-23
Trump trial pushed back to second week of February - RTHK,2021-01-23 HKT 17:31,World News,"The leaders of the US Senate agreed on Friday to push back former President Donald Trump's impeachment trial by two weeks, giving the chamber more tim...",news.rthk.hk/rthk/en/component/k2/1571999-20210123.htm?archive_date=2021-01-23
"HK Covid cases top 10,000, one year into outbreak - RTHK",2021-01-23 HKT 18:26,Local,"Hong Kong's tally of Covid-19 cases pushed through the 10,000 mark on Saturday, a year after the city recorded its first coronavirus case – a 39-year-...",news.rthk.hk/rthk/en/component/k2/1571994-20210123.htm?archive_date=2021-01-23
Sri Lanka minister gets Covid after endorsing potion - RTHK,2021-01-23 HKT 20:00,World News,"Sri Lanka’s health minister, who has faced criticism for consuming and endorsing a herbal syrup made by a sorcerer, has tested positive for Covid-19....",news.rthk.hk/rthk/en/component/k2/1572016-20210123.htm?archive_date=2021-01-23
TV legend Larry King dies aged 87 - RTHK,2021-01-23 HKT 21:41,World News,"Larry King, the suspenders-sporting everyman whose broadcast interviews with world leaders, movie stars and ordinary Joes helped define American conve...",news.rthk.hk/rthk/en/component/k2/1572025-20210123.htm?archive_date=2021-01-23
Southampton dump holders Arsenal out of FA Cup - RTHK,2021-01-23 HKT 22:41,Sport,"Southampton dumped FA Cup holders Arsenal out of the competition on Saturday, winning 1-0 courtesy of a Gabriel own goal to set up a fifth-round meeti...",news.rthk.hk/rthk/en/component/k2/1572030-20210123.htm?archive_date=2021-01-23
Wuhan marks a year since Covid lockdown - RTHK,2021-01-23 HKT 23:10,Greater China,"The Chinese city of Wuhan marked one year since the start of its traumatic 76-day coronavirus lockdown on Saturday, while the pandemic raged elsewhere...",news.rthk.hk/rthk/en/component/k2/1572032-20210123.htm?archive_date=2021-01-23
Yellen set to be first woman Treasury secretary - RTHK,2021-01-23 HKT 23:21,Finance,"The US Senate Finance Committee on Friday unanimously approved Janet Yellen's nomination as the first woman Treasury secretary, indicating that she wi...",news.rthk.hk/rthk/en/component/k2/1572036-20210123.htm?archive_date=2021-01-23
"UK steps up vaccinations as death toll nears 100,000 - RTHK",2021-01-24 HKT 01:11,World News,"Britain vaccinated 478,248 people in the 24 hours to Saturday with a first dose of the Covid-19 vaccine, a daily record according to government figure...",news.rthk.hk/rthk/en/component/k2/1572041-20210124.htm?archive_date=2021-01-24
CS 'confident' Jordan lockdown will end on Monday - RTHK,2021-01-24 HKT 11:07,Local,Chief Secretary Matthew Cheung said on Sunday that he was confident that a lockdown covering a densely-packed area of Jordan would end by Monday morni...,news.rthk.hk/rthk/en/component/k2/1572068-20210124.htm?archive_date=2021-01-24
Move faster on future lockdowns: David Hui - RTHK,2021-01-24 HKT 12:51,Local,"A government adviser on the pandemic has said the area around the Yau Ma Tei wholesale fruit market may be next to face a lockdown, as he urged offici...",news.rthk.hk/rthk/en/component/k2/1572077-20210124.htm?archive_date=2021-01-24
Pork in food parcels shows 'lack of sensitivity' - RTHK,2021-01-24 HKT 15:39,Local,A Yau Tsim Mong district councillor on Sunday accused the government of failing to show cultural sensitivity in its treatment of people locked down in...,news.rthk.hk/rthk/en/component/k2/1572091-20210124.htm?archive_date=2021-01-24
"13 out of 7,000 test positive in Jordan lockdown - RTHK",2021-01-24 HKT 18:10,Local,"Officials says 13 of the more than 7,000 people who've been tested for Covid-19 in the locked-down area of Jordan since Saturday were preliminary posi...",news.rthk.hk/rthk/en/component/k2/1572104-20210124.htm?archive_date=2021-01-24
Jordan residents now free to leave 'lockdown' zone - RTHK,2021-01-24 HKT 19:20,Local,"Residents who've tested negative for Covid-19 can now leave and re-enter the locked down area of Jordan provided they wear an official wristband, the...",news.rthk.hk/rthk/en/component/k2/1572113-20210124.htm?archive_date=2021-01-24
Kenneth Branagh to play Boris in Covid drama - RTHK,2021-01-24 HKT 21:08,World News,Britain's Sky television has announced plans to make a drama series about the UK's battle with the coronavirus starring Kenneth Branagh in the role of...,news.rthk.hk/rthk/en/component/k2/1572118-20210124.htm?archive_date=2021-01-24
Intensive cleaning to take place in restricted area - RTHK,2021-01-24 HKT 23:01,Local,"The Food and Environmental Hygiene Department says it will start cleansing the Jordan lockdown area, once restrictions are fully lifted. In a statemen...",news.rthk.hk/rthk/en/component/k2/1572128-20210124.htm?archive_date=2021-01-24
Residents desperate for decent food after lockdown - RTHK,2021-01-24 HKT 23:22,Local,"Residents of the locked-down area of Jordan said they were thrilled to be allowed to leave earlier than expected at 6 pm on Sunday, with many saying t...",news.rthk.hk/rthk/en/component/k2/1572130-20210124.htm?archive_date=2021-01-24
Sham Shui Po building goes into compulsory testing - RTHK,2021-01-25 HKT 00:58,Local,The government late on Sunday said a building in the Sham Shui Po specified area had met the criteria for compulsory testing for Covid-19. The buildin...,news.rthk.hk/rthk/en/component/k2/1572133-20210125.htm?archive_date=2021-01-25
Government lifts Jordan lockdown - RTHK,2021-01-25 HKT 03:29,Local,"The government on Monday morning ended the lockdown restrictions on a block of streets in Jordan, that had been at the centre of a Covid-19 outbreak....",news.rthk.hk/rthk/en/component/k2/1572142-20210125.htm?archive_date=2021-01-25
China overtakes US as top investment destination - RTHK,2021-01-25 HKT 08:38,Finance,China was the largest recipient of foreign direct investment in 2020 as the coronavirus outbreak spread across the world during the course of the year...,news.rthk.hk/rthk/en/component/k2/1572166-20210125.htm?archive_date=2021-01-25
Jilin outbreak drives spike in mainland cases - RTHK,2021-01-25 HKT 08:59,Greater China,The mainland reported a climb in new Covid-19 cases driven by a spike in infections among previously symptomless patients in northeastern Jilin provin...,news.rthk.hk/rthk/en/component/k2/1572168-20210125.htm?archive_date=2021-01-25
Further lockdowns 'unlikely to drive cases down' - RTHK,2021-01-25 HKT 09:30,Local,"An epidemiologist has cast doubt on the effectiveness of further lockdowns in Hong Kong, after just 13 people out of more than 7,000 tested in the Jor...",news.rthk.hk/rthk/en/component/k2/1572177-20210125.htm?archive_date=2021-01-25
Businesses complain of major losses due to lockdown - RTHK,2021-01-25 HKT 11:32,Local,"Businesses in the Jordan area, which was locked down over the weekend following a surge in Covid-19 cases, say they have suffered great financial loss...",news.rthk.hk/rthk/en/component/k2/1572191-20210125.htm?archive_date=2021-01-25
Jordan lockdown came too late: expert - RTHK,2021-01-25 HKT 11:48,Local,"An infectious disease expert said on Monday that he believes it was necessary for the government to put part of Jordan under lockdown at the weekend,...",news.rthk.hk/rthk/en/component/k2/1572194-20210125.htm?archive_date=2021-01-25
Biden 'to reinstate Covid travel bans' - RTHK,2021-01-25 HKT 12:26,World News,Vietnam's ruling Communist Party gathered for its first national congress since 2016 on Monday with a mission to select new leaders and shape policy f...,news.rthk.hk/rthk/en/component/k2/1572211-20210125.htm?archive_date=2021-01-25
Vietnam kicks off congress to pick new leadership - RTHK,2021-01-25 HKT 13:26,World News,"On Monday's Backchat, we'll be discussing the latest on the Covid-19 situation in Hong Kong. Is a local lockdown effective? How about a 2-week quarantine for aircrew ? Should restaurants open in the evening?  Let us know your thoughts, you can leave a message on our Facebook, Backchat on RTHK Radio 3, email us at backchat@rthk.hk or give us a call on 23388266. 9:15 The Latest on Covid-19 8:30-9:00: Phone: Dr Pan Pey-chyou, Former Vice Chairman, Hong Kong Federation of Trade Unions  8:30-9:00: Phone: Dr Arisina Ma, President, Hong Kong Public Doctors Association 9:00-9:15: Phone: Czerny Achim, Associate Professor, Department of Logistics and Mari-time Studies, Hong Kong Polytechnic 9:15-9:30 F&B and the 6pm dinner ban Phone: James Robertson, owner of restaurant chain Grappas and Cadillac",news.rthk.hk/rthk/en/component/k2/1572221-20210125.htm?archive_date=2021-01-25
Covid-hit Laguna City block partially evacuated - RTHK,2021-01-25 HKT 15:01,Local,"US President Joe Biden will re-impose a Covid-19 travel ban on most non-US citizens who have been in Britain, Brazil, Ireland and much of Europe, a Wh...",news.rthk.hk/rthk/en/component/k2/1572226-20210125.htm?archive_date=2021-01-25
Wholesaler warns against sealing off fruit market - RTHK,2021-01-25 HKT 15:47,Local,A representative of the Yau Ma Tei Wholesale Fruit Market on Monday warned against any move to put the site into lockdown amid rising Covid-19 cases i...,news.rthk.hk/rthk/en/component/k2/1572239-20210125.htm?archive_date=2021-01-25
HK govt conned over 'Japanese' face masks - RTHK,2021-01-25 HKT 17:05,Local,The government on Monday filed a writ at the High Court claiming it had been duped into paying tens of millions of dollars for Japanese face masks tha...,news.rthk.hk/rthk/en/component/k2/1572259-20210125.htm?archive_date=2021-01-25
Frail elderly 'shouldn't get Covid jabs first' - RTHK,2021-01-25 HKT 17:39,Local,A health expert said on Monday that the government should avoid giving sick and weak elderly people the coronavirus vaccine developed by BioNTech when...,news.rthk.hk/rthk/en/component/k2/1572265-20210125.htm?archive_date=2021-01-25
Three Queen Eilzabeth Hospital nurses test positive - RTHK,2021-01-25 HKT 17:45,Local,"The Hospital Authority says three nurses at Queen Elizabeth Hospital have tested preliminary positive for Covid-19, but the infections don't appear to...",news.rthk.hk/rthk/en/component/k2/1572264-20210125.htm?archive_date=2021-01-25
'Cash subsidy for businesses hit by lockdown' - RTHK,2021-01-25 HKT 19:16,Local,The government was on Monday facing mounting calls to compensate businesses that lost out because of the weekend lockdown in Jordan. Yau Tsim Mong dis...,news.rthk.hk/rthk/en/component/k2/1572291-20210125.htm?archive_date=2021-01-25
Crew quarantine 'deals further blow to Cathay' - RTHK,2021-01-25 HKT 19:37,Local,"Cathay Pacific on Monday warned that its passenger and cargo services, as well as its finances, will be hit hard by quarantine rules for flight crew e...",news.rthk.hk/rthk/en/component/k2/1572294-20210125.htm?archive_date=2021-01-25
RTHK condemns 'smearing' over tinned goods report - RTHK,2021-01-25 HKT 21:46,Local,An RTHK report on tinned goods handed out to people caught up in the weekend’s unprecedented coronavirus lockdown in Jordan has apparently opened a ca...,news.rthk.hk/rthk/en/component/k2/1572302-20210125.htm?archive_date=2021-01-25
Xi calls for global economic policy coordination - RTHK,2021-01-25 HKT 23:29,Greater China,President Xi Jinping on Monday called on the world to strengthen macroeconomic policy coordination and bolster the role of the G20 in global economic...,news.rthk.hk/rthk/en/component/k2/1572316-20210125.htm?archive_date=2021-01-25
US stocks hit new records as earnings come in - RTHK,2021-01-26 HKT 05:23,Finance,Tech shares were on top again Monday as a heavy week of corporate earnings kicked off while pharmaceutical companies offered mixed news on coronavirus...,news.rthk.hk/rthk/en/component/k2/1572332-20210126.htm?archive_date=2021-01-26
Moderna says vaccine works against new variants - RTHK,2021-01-26 HKT 05:53,World News,"Moderna said on Monday it believes its Covid-19 vaccine protects against new variants found in Britain and South Africa, although it will test a new b...",news.rthk.hk/rthk/en/component/k2/1572346-20210126.htm?archive_date=2021-01-26
"Sibley, Buttler steer England to Sri Lanka sweep - RTHK",2021-01-26 HKT 08:46,Sport,Dom Sibley and Jos Buttler anchored a run chase after a jittery start as England beat Sri Lanka by six wickets Monday in the second Test to sweep the...,news.rthk.hk/rthk/en/component/k2/1572359-20210126.htm?archive_date=2021-01-26
CE asks Beijing for mainland-made vaccine - RTHK,2021-01-26 HKT 11:53,Local,"Chief Executive Carrie Lam said on Tuesday that she has asked Beijing to provide Hong Kong with mainland-made Covid-19 jabs, after ""hiccups"" or delays...",news.rthk.hk/rthk/en/component/k2/1572392-20210126.htm?archive_date=2021-01-26
"HK could see 'ambush lockdowns', says Carrie Lam - RTHK",2021-01-26 HKT 12:30,Local,"Chief Executive Carrie Lam said on Tuesday that more lockdown orders could be imposed to curb the coronavirus after a ""successful"" operation in Yau Ma...",news.rthk.hk/rthk/en/component/k2/1572394-20210126.htm?archive_date=2021-01-26
'Fruit market lockdown may not be needed after all' - RTHK,2021-01-26 HKT 13:32,Local,A respiratory disease expert who earlier suggested sealing off the Yau Ma Tei fruit market and its neighbourhood says a lockdown may not be necessary...,news.rthk.hk/rthk/en/component/k2/1572407-20210126.htm?archive_date=2021-01-26
Vaccine side effects will be treated quickly: expert - RTHK,2021-01-26 HKT 14:22,Local,An expert on a government panel tasked with monitoring the use of coronavirus vaccines in Hong Kong said on Tuesday that health authorities would make...,news.rthk.hk/rthk/en/component/k2/1572423-20210126.htm?archive_date=2021-01-26
"HSI slides on China liquidity, US stimulus worries - RTHK",2021-01-26 HKT 17:06,Finance,"Local shares slumped on Tuesday, giving back all the gains made the previous day, amid worries over liquidity in the world’s second largest economy ah...",news.rthk.hk/rthk/en/component/k2/1572446-20210126.htm?archive_date=2021-01-26
"Wrong to restrict vaccine exports from EU, says UK - RTHK",2021-01-26 HKT 17:19,World News,"Britain and the European Union should both get the vaccines they have ordered and it is wrong to respond to supply problems with restrictions, Nadhim...",news.rthk.hk/rthk/en/component/k2/1572457-20210126.htm?archive_date=2021-01-26
More areas come under stricter Covid testing rules - RTHK,2021-01-26 HKT 17:46,Local,"The government on Tuesday announced that more buildings in Jordan, Mong Kok, Yau Ma Tei and Hung Hom are coming under stringent mandatory coronavirus...",news.rthk.hk/rthk/en/component/k2/1572465-20210126.htm?archive_date=2021-01-26
Duterte tells children to stay home and watch TV - RTHK,2021-01-26 HKT 17:53,World News,"Philippine President Rodrigo Duterte has reimposed a ban on children aged 10 to 14 leaving home, telling them to watch TV instead, as the country batt...",news.rthk.hk/rthk/en/component/k2/1572467-20210126.htm?archive_date=2021-01-26
Ambush-style lockdown seals Yau Ma Tei buildings - RTHK,2021-01-26 HKT 19:56,Local,"The government issued a lockdown order on Tuesday evening for a number of buildings in Yau Ma Tei, requiring all residents there to be tested for Covi...",news.rthk.hk/rthk/en/component/k2/1572487-20210126.htm?archive_date=2021-01-26
"Italian PM resigns, buys time to build coalition - RTHK",2021-01-26 HKT 21:16,World News,"Italian Prime Minister Giuseppe Conte handed in his resignation to the head of state on Tuesday, hoping he would be given an opportunity to put togeth...",news.rthk.hk/rthk/en/component/k2/1572498-20210126.htm?archive_date=2021-01-26
Residents caught out by sudden lockdown - RTHK,2021-01-26 HKT 22:20,Local,"Residents of two streets in Yau Ma Tei have expressed shock at seeing their area plunged into a sudden lockdown on Tuesday evening, though they said t...",news.rthk.hk/rthk/en/component/k2/1572507-20210126.htm?archive_date=2021-01-26
"Mandatory tests for 40 buildings, 20 in Sham Shui Po - RTHK",2021-01-27 HKT 03:33,Local,"Officials in the early hours of Wednesday ordered mandatory coronavirus tests for resident and visitors to 40 buildings across the SAR, eight of which are found in a single block in Kowloon City.",news.rthk.hk/rthk/en/component/k2/1572535-20210127.htm?archive_date=2021-01-27
"UK virus death toll passes 100,000 - RTHK",2021-01-27 HKT 03:40,World News,"The death toll in Britain from the coronavirus pandemic passed 100,000 people on Tuesday as the government battled to speed up vaccination delivery an...",news.rthk.hk/rthk/en/component/k2/1572536-20210127.htm?archive_date=2021-01-27
Wall Street slips amid mixed earnings news - RTHK,2021-01-27 HKT 06:01,Finance,"The S&P and Nasdaq slipped on Tuesday from record closing levels as investors digested a batch of corporate earnings results, while an expected policy announcement from the Federal Reserve on Wednesday helped to limit moves.",news.rthk.hk/rthk/en/component/k2/1572547-20210127.htm?archive_date=2021-01-27
One positive case as Yau Ma Tei lockdown ends - RTHK,2021-01-27 HKT 06:21,Local,"Officials on Wednesday lifted an 11-hour overnight lockdown on two streets in Yau Ma Tei after testing 330 people, finding one positive case of Covid-...",news.rthk.hk/rthk/en/component/k2/1572552-20210127.htm?archive_date=2021-01-27
Tuchel confirmed as Chelsea manager on 18-month deal - RTHK,2021-01-27 HKT 08:37,Sport,"Thomas Tuchel was appointed Chelsea manager on an 18-month contract on Tuesday, tasked with hauling the underperforming Blues back into the Champions...",news.rthk.hk/rthk/en/component/k2/1572567-20210127.htm?archive_date=2021-01-27
'Only half of residents were tested in lockdown' - RTHK,2021-01-27 HKT 10:45,Local,A district councilor said on Wednesday that the government may have tested only around half of the residents living in the three buildings in Yau Ma T...,news.rthk.hk/rthk/en/component/k2/1572585-20210127.htm?archive_date=2021-01-27
CE gives 'ambush' Yau Ma Tei lockdown the thumbs up - RTHK,2021-01-27 HKT 11:02,Local,"Chief Executive Carrie Lam on Wednesday said she was thrilled that an overnight lockdown of two streets in Yau Ma Tei, to identify Covid-19 carriers, had achieved the goals of ""being confidential"", ""focusing on an area"", and ""compressing the lockdown time"".",news.rthk.hk/rthk/en/component/k2/1572586-20210127.htm?archive_date=2021-01-27
China says 22 million have received Covid vaccines - RTHK,2021-01-27 HKT 12:38,Greater China,"China has administered about 22.8 million doses of Covid-19 vaccines, a health official said on Wednesday, as the country steps up its campaign ahead...",news.rthk.hk/rthk/en/component/k2/1572613-20210127.htm?archive_date=2021-01-27
Govt urged to hire tour guides for temporary roles - RTHK,2021-01-27 HKT 13:55,Local,"Representatives of the tourism sector on Wednesday called on the government to hire unemployed workers in their industry for temporary positions, such...",news.rthk.hk/rthk/en/component/k2/1572621-20210127.htm?archive_date=2021-01-27
Wuhan relatives 'being silenced' as WHO visits - RTHK,2021-01-27 HKT 16:29,Greater China,Relatives of Wuhan's coronavirus dead on Wednesday said Chinese authorities have deleted their social media group and are pressuring them to keep quie...,news.rthk.hk/rthk/en/component/k2/1572651-20210127.htm?archive_date=2021-01-27
Covid outbreak hits Hung Hom congee shop - RTHK,2021-01-27 HKT 17:58,Local,"A new coronavirus cluster has emerged at a congee shop in Hung Hom while another cluster at a residential block in North Point has expanded, forcing a...",news.rthk.hk/rthk/en/component/k2/1572671-20210127.htm?archive_date=2021-01-27
Covid-hit North Point building partially evacuated - RTHK,2021-01-27 HKT 18:23,Local,Health authorities will be partially evacuating residents of Tung Fat Building in North Point after 13 people there tested positive or preliminary pos...,news.rthk.hk/rthk/en/component/k2/1572676-20210127.htm?archive_date=2021-01-27
Exchange Fund's income drops 25 percent in 2020 - RTHK,2021-01-27 HKT 19:12,Finance,"The Hong Kong Monetary Authority said on Wednesday that the Exchange Fund’s annual investment income dropped to HK$197.8 billion in 2020, down some 25...",news.rthk.hk/rthk/en/component/k2/1572682-20210127.htm?archive_date=2021-01-27
"Patriots must rule HK, Xi Jinping tells Carrie Lam - RTHK",2021-01-27 HKT 19:36,Local,"President Xi Jinping has told Chief Executive Carrie Lam that ‘patriots’ must rule Hong Kong for the SAR to maintain stability and prosperity, while s...",news.rthk.hk/rthk/en/component/k2/1572689-20210127.htm?archive_date=2021-01-27
"Britain announces travel curbs, extended lockdown - RTHK",2021-01-28 HKT 01:09,World News,British Prime Minister Boris Johnson indicated on Wednesday the Covid-19 lockdown in England would last until March 8 when schools could start to reop...,news.rthk.hk/rthk/en/component/k2/1572725-20210128.htm?archive_date=2021-01-28
"Russian police raid homes of Navalny, allies - RTHK",2021-01-28 HKT 01:47,World News,"Russian police raided the Moscow offices of jailed Kremlin critic Alexei Navalny's group on Wednesday and came to search several other properties, inc...",news.rthk.hk/rthk/en/component/k2/1572727-20210128.htm?archive_date=2021-01-28
Kerry: climate deal won't eclipse China concerns - RTHK,2021-01-28 HKT 03:50,World News,"The United States will try to keep climate negotiations with China separate from other disagreements affecting the two countries' ties, John Kerry sai...",news.rthk.hk/rthk/en/component/k2/1572736-20210128.htm?archive_date=2021-01-28
